WhiteSeagull
527|634
Taran,567|568,17.12.19 07:03:29:946,PE1NN
Taran,601|548,17.12.19 07:05:40:554,St3rydPC
Taran,564|568,17.12.19 07:08:03:526,PE1NN
Taran,585|542,17.12.19 07:08:23:918,Psuja90
Taran,566|570,17.12.19 07:12:22:239,PE1NN
Taran,571|658,17.12.19 07:16:43:024,St3rydPC
Taran,567|648,17.12.19 07:41:56:932,ElSamag
Taran,593|603,17.12.19 07:45:23:863,ElSamag
Taran,614|626,17.12.19 07:45:41:764,St3rydPC
Taran,564|636,17.12.19 07:48:11:857,St3rydPC
Taran,528|522,17.12.19 08:02:50:959,Psuja90
Taran,527|522,17.12.19 08:03:11:524,Psuja90
Taran,532|522,17.12.19 08:05:11:130,Psuja90
Taran,550|669,17.12.19 08:06:48:467,St3rydPC
Taran,596|650,17.12.19 08:07:24:076,Cuthbert
Taran,571|643,17.12.19 08:12:52:487,Psuja90
Taran,577|655,17.12.19 08:17:06:557,St3rydPC
Taran,571|557,17.12.19 08:20:45:994,St3rydPC
Taran,589|567,17.12.19 08:32:04:536,Mentler
Taran,528|677,17.12.19 08:44:22:503,St3rydPC
Taran,557|579,17.12.19 08:50:00:432,St3rydPC
Taran,572|640,17.12.19 09:04:38:239,ElSamag
Taran,610|550,17.12.19 09:12:30:292,St3rydPC
Taran,567|657,17.12.19 09:24:58:707,ElSamag
Taran,534|678,17.12.19 09:25:49:776,St3rydPC
Taran,521|515,17.12.19 09:31:03:925,St3rydPC
Taran,524|515,17.12.19 09:31:49:675,St3rydPC
Taran,582|558,17.12.19 09:41:53:493,Mentler
Taran,581|620,17.12.19 09:44:49:777,PE1NN
Taran,545|676,17.12.19 09:55:52:004,St3rydPC
Taran,566|565,17.12.19 10:02:57:755,St3rydPC
Taran,541|678,17.12.19 10:09:40:753,St3rydPC
Taran,555|614,17.12.19 10:12:19:410,Mahazelus
Taran,527|517,17.12.19 10:20:28:148,Psuja90
Taran,544|680,17.12.19 10:49:01:221,ElSamag
Szlachcic,550|659,17.12.19 12:01:42:399,Psuja90
Taran,575|567,17.12.19 12:08:06:460,ElSamag
Taran,551|660,17.12.19 12:16:20:979,Psuja90
Taran,575|567,17.12.19 12:59:00:238,ElSamag
Taran,603|597,17.12.19 13:08:36:071,ElSamag
