Taran   634|511   dsffdfdsfdf   402|524   Bebikson   232   2021/02/01 06:50:58   1/1   2021/02/06 07:52:21   
CK   531|651   Lord kamikadze161616   392|544   Primokret   175   2021/02/02 12:16:46   1/1   2021/02/06 07:38:27   
Zwiad   526|655   Lord kamikadze161616   388|541   DORODNY_OCHOTNIK   178   2021/02/02 12:43:58   1/1   2021/02/06 09:57:37   
Taran 02.02 o 09:12:00 [193]   633|536   Qwint0   440|545   Primokret   193   2021/02/02 09:12:01   1/1   2021/02/06 13:49:49   
Taran   486|619   OrelQ   439|522   Alu.   107   2021/02/04 00:34:02   1/3   2021/02/06 08:42:22   
Taran   485|619   OrelQ   414|533   Bebikson   111   2021/02/04 00:38:33   1/3   2021/02/06 10:43:35   
Taran   491|611   OrelQ   405|529   Bebikson   118   2021/02/04 00:41:56   2/3   2021/02/06 14:35:17   
Taran   477|629   OrelQ   431|518   Bebikson   120   2021/02/04 00:42:10   3/3   2021/02/06 15:16:59   
Taran   474|620   OrelQ   405|529   Bebikson   114   2021/02/04 00:42:25   2/4   2021/02/06 12:11:13   
Taran   500|626   OrelQ   399|586   CoTyTutajRobisz   108   2021/02/04 00:43:31   1/4   2021/02/06 09:18:17   
Taran   494|616   OrelQ   399|573   CoTyTutajRobisz   104   2021/02/04 09:31:31   5/5   2021/02/06 15:50:14   
Taran   494|616   OrelQ   453|532   Primokret   93   2021/02/04 09:31:37   2/5   2021/02/06 10:12:37   
Taran   460|624   OrelQ   422|532   Bebikson   99   2021/02/04 09:34:05   2/2   2021/02/06 13:24:40   
Taran   459|638   OrelQ   455|545   DORODNY_OCHOTNIK   93   2021/02/04 14:34:32   2/4   2021/02/06 15:03:29   
Taran   459|638   OrelQ   402|570   CoTyTutajRobisz   88   2021/02/04 14:35:10   1/4   2021/02/06 12:47:58   
Taran   494|620   OrelQ   455|541   DORODNY_OCHOTNIK   88   2021/02/04 17:59:43   2/2   2021/02/06 15:52:54   
Taran   486|619   OrelQ   458|540   DORODNY_OCHOTNIK   83   2021/02/04 17:59:49   3/3   2021/02/06 13:39:02   
Taran (1)   460|624   OrelQ   415|559   fluffy1321   79   2021/02/04 18:00:24   1/2   2021/02/06 11:10:56   
Taran   494|621   OrelQ   470|546   DORODNY_OCHOTNIK   78   2021/02/04 18:00:38   3/3   2021/02/06 11:01:28   
